run,bun,eligible,suite,fixture,metric,pairs,median_A,median_B,median_change_pct,median_abs_pair_pct,p90_abs_pair_pct,A_mad_pct,B_mad_pct,paired_changes_pct
aa-140-1,1.4.0,False,http,query,rps,5,25429.71713064795,27606.229390458753,8.558932246979921,8.558932246979921,24.216040345907786,9.840469789146644,3.1629513153305022,"[24.216040345907786, 8.558932246979921, -15.533341978701444, -2.722386753834516, 0.8439632957125909]"
aa-140-1,1.4.0,False,http,query,p50,5,1.2648059999992256,1.1794069999996282,-6.751944566965184,9.52714112994908,14.694379938583847,6.239533968287209,4.939601002649072,"[-9.52714112994908, -11.358026448086134, 14.694379938583847, 5.157914258626928, -2.215112627511806]"
aa-140-1,1.4.0,False,http,query,p95,5,2.067258999999467,1.934560000001511,-6.419079563711671,6.419079563711671,25.827827168686547,13.235061499206948,7.296439500491802,"[-25.827827168686547, -6.419079563711671, 22.394037652479383, 4.913344571047884, -3.274639502754839]"
aa-140-1,1.4.0,False,http,query,p99,5,3.2580569999990985,3.0506879999993544,-6.364805772268611,8.930967624305698,35.051497249963205,14.041712591159767,8.440751725515753,"[-35.051497249963205, -3.895818888309688, 8.930967624305698, -2.1022478346797047, -14.386137349976957]"
aa-140-1,1.4.0,False,http,metadata,rps,5,25135.062832411637,23014.585163090942,-8.436333274593377,13.76748045838163,22.433416082043568,9.4069320997955,10.474093175220881,"[13.76748045838163, 7.240048247881181, -21.789246767737747, 10.883787978007732, -22.433416082043568]"
aa-140-1,1.4.0,False,http,metadata,p50,5,1.3202089999977034,1.3628700000008394,3.2313823041056455,21.56812769257719,41.048555313439095,5.792340454943546,10.991583936800865,"[-18.111130657598405, -4.109001104513432, 41.048555313439095, -23.685946694840265, 21.56812769257719]"
aa-140-1,1.4.0,False,http,metadata,p95,5,2.1605540000018664,2.261421999999584,4.668617400797692,18.76901082643173,32.929050359285974,6.928871021150392,7.602826893925074,"[-3.4749853757029103, -18.76901082643173, 32.929050359285974, -11.563608222851595, 27.6022302983729]"
aa-140-1,1.4.0,False,http,metadata,p99,5,2.878475999998045,3.437471999997797,19.419859675749642,18.503380329551256,40.34229229610129,5.0300575720702705,2.369532028147058,"[-17.556442547317943, -18.503380329551256, 26.4712035190515, -2.1363388125454907, 40.34229229610129]"
aa-140-1,1.4.0,False,http,class-warm,rps,5,24987.422423128988,21932.95832000566,-12.224006347673699,12.224006347673699,18.516911259503278,6.070452759842216,6.131615558396046,"[12.257338231875048, 1.121822480381529, -12.224006347673699, -1.592732999285329, -18.516911259503278]"
aa-140-1,1.4.0,False,http,class-warm,p50,5,1.2916470000018307,1.307145999999193,1.1999408505063869,3.2366807113005214,12.488009494562169,2.9792969750927543,0.7963150251481965,"[-2.5104331986703254, 3.2366807113005214, 3.0157841428742893, 11.739262004934513, 12.488009494562169]"
aa-140-1,1.4.0,False,http,class-warm,p95,5,2.3243899999979476,2.5982120000007853,11.7803810893645,11.7803810893645,42.20618033681382,12.04806422343345,10.907501004403509,"[-17.513709312639424, -1.9571284377762455, 11.7803810893645, 0.2927358896992249, 42.20618033681382]"
aa-140-1,1.4.0,False,http,class-warm,p99,5,3.2317870000006224,3.5697309999995923,10.45687726322635,22.33624404324839,36.73526848189659,10.432618238734962,10.876029594441725,"[-22.33624404324839, -22.607810349258372, 17.484351536771705, -1.799609500048227, 36.73526848189659]"
aa-140-1,1.4.0,False,http,factory-warm,rps,5,21961.212161034982,22345.000733679666,1.7475746321763852,7.862384292138436,21.324972212228744,10.461847370390396,9.317758492094777,"[13.02584785792118, 3.047671463655255, -0.2862899844189304, 7.862384292138436, -21.324972212228744]"
aa-140-1,1.4.0,False,http,factory-warm,p50,5,1.351479000000836,1.2767690000000584,-5.528017823490517,5.528017823490517,20.850580463143853,7.096743641616532,17.974277257505836,"[-5.528017823490517, 2.784987512691761, 4.7324494432401165, -20.850580463143853, 18.83591423835338]"
aa-140-1,1.4.0,False,http,factory-warm,p95,5,2.6210449999998673,2.5850360000004002,-1.3738413495178015,10.133210894787803,34.15893122763538,15.447960641679387,6.152718956268425,"[-16.76112190226704, -10.133210894787803, 0.19686804311314088, -8.310098562888024, 34.15893122763538]"
aa-140-1,1.4.0,False,http,factory-warm,p99,5,3.7273050000003423,3.241116000001057,-13.043982180133929,19.520078239103313,34.043247041877045,19.328952151763954,6.401714718004722,"[-23.367515142730454, -19.520078239103313, -13.043982180133929, -1.7975586459353154, 34.043247041877045]"
aa-140-1,1.4.0,False,http,middleware-20,rps,5,24067.69076485578,24833.767954404957,3.1830107717181644,4.844494346936257,19.375362639724326,12.225646399694194,1.35882506410468,"[4.844494346936257, 19.375362639724326, -1.0041379706451248, -4.702129211202644, -9.306885346902693]"
aa-140-1,1.4.0,False,http,middleware-20,p50,5,1.27792099999715,1.229710999999952,-3.7725336697108314,5.382153190199357,18.78710145761957,4.8512388478258615,3.8439112928793606,"[-3.7725336697108314, -4.382097185646172, -11.278966118368661, 18.78710145761957, -5.382153190199357]"
aa-140-1,1.4.0,False,http,middleware-20,p95,5,2.292530999999144,2.249910999998974,-1.8590806405752391,2.595201139101877,21.95135780401375,10.296174839113585,5.557242042032541,"[2.4900862845793625, -21.95135780401375, -2.2992289150348455, 2.595201139101877, 19.418270973666928]"
aa-140-1,1.4.0,False,http,middleware-20,p99,5,3.2340409999997064,3.0333559999999125,-6.205394427584931,6.047938670726283,39.13146619185143,8.020399246656089,1.5391533337511587,"[7.18466463474392, -39.13146619185143, 1.5150824884139213, 1.5643815187388999, 6.047938670726283]"
